numb,RegionName2,Date,Incident_Rate,Mortality_Rate,mean_sickness,mean_death
154,DC,2020-09-13T07:00:00Z,2053.5629522677327,4.250327744428345,1423.4915116315492,4.798169447310406
155,DC,2020-09-14T07:00:00Z,2067.5906023246225,4.221491228070176,1423.4915116315492,4.798169447310406
156,DC,2020-09-15T07:00:00Z,2071.841405372165,4.212829982218575,1423.4915116315492,4.798169447310406
157,DC,2020-09-16T07:00:00Z,2081.0514786418407,4.194185333968816,1423.4915116315492,4.798169447310406
158,DC,2020-09-17T07:00:00Z,2088.9863109972525,4.1850369666960585,1423.4915116315492,4.798169447310406
159,DC,2020-09-18T07:00:00Z,2095.645902438402,4.1852603110209605,1423.4915116315492,4.798169447310406
160,DC,2020-09-19T07:00:00Z,2104.430895403323,4.1677888499865325,1423.4915116315492,4.798169447310406
161,DC,2020-09-20T07:00:00Z,2111.515567149227,4.153804858408267,1423.4915116315492,4.798169447310406
162,DC,2020-09-21T07:00:00Z,2119.0253191998854,4.145770645269141,1423.4915116315492,4.798169447310406
163,DC,2020-09-22T07:00:00Z,2122.284268203001,4.146080918680732,1423.4915116315492,4.798169447310406
164,DC,2020-09-23T07:00:00Z,2128.377085904479,4.134212103055722,1423.4915116315492,4.798169447310406
165,DC,2020-09-24T07:00:00Z,2132.486195517103,4.12624584717608,1423.4915116315492,4.798169447310406
166,DC,2020-09-25T07:00:00Z,2140.4210278725154,4.110949291672183,1423.4915116315492,4.798169447310406
1,DE,2020-04-12T07:00:00Z,166.8782169,2.153846154,1214.7849534635843,3.6577354238234148
2,DE,2020-04-13T07:00:00Z,180.53655711240094,2.3321956769055747,1214.7849534635843,3.6577354238234148
3,DE,2020-04-14T07:00:00Z,197.7891974,2.232606438,1214.7849534635843,3.6577354238234148
4,DE,2020-04-15T07:00:00Z,206.82629466688027,2.284011916583913,1214.7849534635843,3.6577354238234148
5,DE,2020-04-16T07:00:00Z,212.57717475692263,2.657004830917874,1214.7849534635843,3.6577354238234148
6,DE,2020-04-17T07:00:00Z,237.94266372550229,2.6327147173068624,1214.7849534635843,3.6577354238234148
7,DE,2020-04-18T07:00:00Z,260.6381012237051,2.639873916469661,1214.7849534635843,3.6577354238234148
8,DE,2020-04-19T07:00:00Z,260.6381012237051,2.639873916469661,1214.7849534635843,3.6577354238234148
9,DE,2020-04-20T07:00:00Z,281.8958186993974,2.622950819672131,1214.7849534635843,3.6577354238234148
10,DE,2020-04-21T07:00:00Z,300.9969561413238,2.7976799727055615,1214.7849534635843,3.6577354238234148
11,DE,2020-04-22T07:00:00Z,328.6217194309915,2.78125,1214.7849534635843,3.6577354238234148
12,DE,2020-04-24T07:00:00Z,339.71270246178744,2.781136638452237,1214.7849534635843,3.6577354238234148
13,DE,2020-04-25T07:00:00Z,353.47373696296023,2.905287623474724,1214.7849534635843,3.6577354238234148
14,DE,2020-04-26T07:00:00Z,367.234771464133,3.131991051454139,1214.7849534635843,3.6577354238234148
15,DE,2020-04-27T07:00:00Z,414.2687550576936,2.974714923153198,1214.7849534635843,3.6577354238234148
16,DE,2020-04-28T07:00:00Z,427.41362383493333,3.00336376741951,1214.7849534635843,3.6577354238234148
17,DE,2020-04-29T07:00:00Z,469.82636449899564,2.9945355191256833,1214.7849534635843,3.6577354238234148
18,DE,2020-04-30T07:00:00Z,478.04190748477043,3.093447905477981,1214.7849534635843,3.6577354238234148
19,DE,2020-05-01T07:00:00Z,486.154756183223,3.2108153781157585,1214.7849534635843,3.6577354238234148
20,DE,2020-05-02T07:00:00Z,505.050505050505,3.2330215534770232,1214.7849534635843,3.6577354238234148
21,DE,2020-05-03T07:00:00Z,517.3738195291672,3.33465660976578,1214.7849534635843,3.6577354238234148
22,DE,2020-05-04T07:00:00Z,534.8318483739387,3.3986175115207375,1214.7849534635843,3.6577354238234148
23,DE,2020-05-05T07:00:00Z,543.0473913597134,3.441754916792738,1214.7849534635843,3.6577354238234148
24,DE,2020-05-06T07:00:00Z,551.5710172074548,3.4816607708061813,1214.7849534635843,3.6577354238234148
25,DE,2020-05-07T07:00:00Z,593.367592147584,3.340256143994462,1214.7849534635843,3.6577354238234148
26,DE,2020-05-08T07:00:00Z,609.9013724064557,3.401246001010271,1214.7849534635843,3.6577354238234148
27,DE,2020-05-09T07:00:00Z,627.5647898258716,3.4855179185076093,1214.7849534635843,3.6577354238234148
28,DE,2020-05-10T07:00:00Z,644.6120415213543,3.5207901863947746,1214.7849534635843,3.6577354238234148
29,DE,2020-05-11T07:00:00Z,644.6120415213543,3.5207901863947746,1214.7849534635843,3.6577354238234148
30,DE,2020-05-12T07:00:00Z,674.1879962701435,3.427265803503427,1214.7849534635843,3.6577354238234148
31,DE,2020-05-13T07:00:00Z,692.262190838848,3.5157988429016465,1214.7849534635843,3.6577354238234148
32,DE,2020-05-14T07:00:00Z,713.930685463829,3.5529344073647873,1214.7849534635843,3.6577354238234148
33,DE,2020-05-15T07:00:00Z,741.7608373281411,3.5996123494392913,1214.7849534635843,3.6577354238234148
34,DE,2020-05-16T07:00:00Z,757.1649804264688,3.6755730367557304,1214.7849534635843,3.6577354238234148
