app,open,duration,sec
Instagram,1/25/2018 11:31,2m 6s,126
System UI,1/25/2018 11:33,1s,1
Instagram,1/25/2018 11:38,3m 38s,218
System UI,1/25/2018 11:41,1s,1
Instagram,1/25/2018 11:42,16s,16
Gmail,1/25/2018 11:42,56s,56
The Weather Channel,1/25/2018 11:44,2s,2
The Weather Channel,1/25/2018 11:44,1m 4s,64
Instagram,1/25/2018 11:45,18s,18
Gmail,1/25/2018 11:47,12s,12
Pandora,1/25/2018 11:47,1s,1
Pandora,1/25/2018 11:47,1m 17s,77
Pandora,1/25/2018 12:03,1m 10s,70
Instagram,1/25/2018 12:04,17s,17
Instagram,1/25/2018 12:04,12s,12
Pandora,1/25/2018 12:06,2s,2
Pandora,1/25/2018 12:09,1m 55s,115
Messages,1/25/2018 12:23,18s,18
Messages,1/25/2018 12:23,2s,2
Messenger Lite,1/25/2018 12:23,24s,24
Messenger Lite,1/25/2018 12:24,2s,2
Messages,1/25/2018 12:24,26s,26
Messages,1/25/2018 13:09,8s,8
System UI,1/25/2018 13:09,1s,1
Instagram,1/25/2018 13:09,6s,6
Instagram,1/25/2018 13:09,3s,3
Gmail,1/25/2018 13:33,4s,4
Gmail,1/25/2018 13:36,5s,5
Gmail,1/25/2018 13:37,4s,4
Gmail,1/25/2018 14:19,6s,6
Messages,1/25/2018 14:19,1m 33s,93
Messages,1/25/2018 14:21,2s,2
Instagram,1/25/2018 14:21,9s,9
Instagram,1/25/2018 14:21,10s,10
Instagram,1/25/2018 14:21,1s,1
Instagram,1/25/2018 14:21,45s,45
Instagram,1/25/2018 14:22,1m 2s,62
Instagram,1/25/2018 14:23,6s,6
Messages,1/25/2018 14:23,2s,2
Instagram,1/25/2018 14:24,12s,12
Messages,1/25/2018 14:26,1m 11s,71
Messages,1/25/2018 14:28,24s,24
Instagram,1/25/2018 14:28,4s,4
Messages,1/25/2018 14:28,1s,1
Messages,1/25/2018 14:28,7s,7
Messages,1/25/2018 14:28,8s,8
Messages,1/25/2018 14:29,12s,12
Instagram,1/25/2018 14:29,27s,27
Instagram,1/25/2018 14:29,6s,6
Instagram,1/25/2018 14:29,13s,13
Instagram,1/25/2018 14:30,4s,4
Instagram,1/25/2018 14:30,27s,27
Instagram,1/25/2018 14:30,12s,12
Instagram,1/25/2018 14:30,2s,2
Instagram,1/25/2018 14:30,2s,2
Instagram,1/25/2018 14:30,5s,5
Messages,1/25/2018 14:31,1m 35s,95
Messages,1/25/2018 14:32,1m ,60
Messages,1/25/2018 14:35,5s,5
Instagram,1/25/2018 14:36,1m 3s,63
Instagram,1/25/2018 14:37,59s,59
Instagram,1/25/2018 14:39,1s,1
Instagram,1/25/2018 14:42,1m ,60
Instagram,1/25/2018 14:59,54s,54
Instagram,1/25/2018 15:00,1s,1
Phone,1/25/2018 15:00,31s,31
Messages,1/25/2018 15:02,52s,52
Messenger Lite,1/25/2018 15:03,4s,4
Messenger Lite,1/25/2018 15:03,7s,7
Messenger Lite,1/25/2018 15:03,1s,1
Messages,1/25/2018 15:03,9s,9
Messenger Lite,1/25/2018 15:08,1m 18s,78
Messenger Lite,1/25/2018 15:10,7s,7
