app,open,duration,sec
Messages,1/30/2018 18:35,1m 16s,76
Messages,1/30/2018 18:36,18s,18
Gmail,1/30/2018 18:48,10s,10
Gmail,1/30/2018 18:48,16s,16
Messages,1/30/2018 18:48,41s,41
Gmail,1/30/2018 18:49,8s,8
Snapchat,1/30/2018 18:49,58s,58
Messenger Lite,1/30/2018 18:50,2s,2
Messenger Lite,1/30/2018 18:50,2s,2
Messenger Lite,1/30/2018 18:50,56s,56
Messenger Lite,1/30/2018 18:51,2s,2
Messenger Lite,1/30/2018 18:51,4s,4
Messenger Lite,1/30/2018 18:52,18s,18
Snapchat,1/30/2018 18:52,17s,17
Snapchat,1/30/2018 19:19,1s,1
Messages,1/30/2018 19:19,25s,25
Messenger Lite,1/30/2018 19:20,2s,2
Messenger Lite,1/30/2018 19:20,14s,14
Messenger Lite,1/30/2018 19:20,7s,7
Messenger Lite,1/30/2018 19:20,3s,3
Messenger Lite,1/30/2018 19:20,32s,32
Messages,1/30/2018 19:22,31s,31
Instagram,1/30/2018 19:22,1m 25s,85
Instagram,1/30/2018 19:24,8s,8
Messages,1/30/2018 19:24,8s,8
Messages,1/30/2018 19:33,1s,1
Messages,1/30/2018 19:33,1s,1
Messages,1/30/2018 19:33,2s,2
Messages,1/30/2018 19:33,1m 5s,65
Messages,1/30/2018 19:34,1s,1
Messenger Lite,1/30/2018 19:34,2s,2
Messenger Lite,1/30/2018 19:34,37s,37
Messenger Lite,1/30/2018 19:35,1s,1
Instagram,1/30/2018 19:35,6s,6
Messages,1/30/2018 19:35,1m ,60
Messenger Lite,1/30/2018 19:38,1s,1
Messenger Lite,1/30/2018 19:38,1m 40s,100
Messenger Lite,1/30/2018 19:41,1s,1
Messenger Lite,1/30/2018 19:41,7s,7
Messenger Lite,1/30/2018 19:49,19s,19
Messages,1/30/2018 19:50,2m 29s,149
Messenger Lite,1/30/2018 19:52,1s,1
Messenger Lite,1/30/2018 19:52,39s,39
Messages,1/30/2018 19:53,6s,6
Messenger Lite,1/30/2018 19:53,1m 50s,110
Messenger Lite,1/30/2018 19:55,2s,2
Messenger Lite,1/30/2018 19:55,36s,36
Messenger Lite,1/30/2018 19:56,6s,6
Twitter,1/30/2018 19:56,2s,2
Messenger Lite,1/30/2018 19:56,18s,18
Messenger Lite,1/30/2018 19:56,12s,12
Messenger Lite,1/30/2018 19:57,5s,5
Messenger Lite,1/30/2018 19:57,6s,6
VLC,1/30/2018 19:57,15s,15
Messenger Lite,1/30/2018 19:57,17s,17
Messenger Lite,1/30/2018 19:57,3s,3
Messenger Lite,1/30/2018 19:57,1m 10s,70
Messenger Lite,1/30/2018 19:57,1s,1
Messenger Lite,1/30/2018 19:59,29s,29
Instagram,1/30/2018 20:00,43s,43
Messenger Lite,1/30/2018 20:03,33s,33
Messenger Lite,1/30/2018 20:03,1m 44s,104
Messenger Lite,1/30/2018 20:10,1m 32s,92
Messenger Lite,1/30/2018 20:15,1s,1
Instagram,1/30/2018 20:15,1s,1
Instagram,1/30/2018 20:15,9s,9
Gmail,1/30/2018 20:15,1s,1
Snapchat,1/30/2018 20:15,15s,15
Instagram,1/30/2018 20:16,11s,11
Gmail,1/30/2018 20:22,20s,20
Messenger Lite,1/30/2018 20:23,2s,2
Messenger Lite,1/30/2018 20:23,9s,9
Instagram,1/30/2018 20:23,58s,58
Gmail,1/30/2018 20:24,15s,15
Instagram,1/30/2018 20:24,2s,2
Instagram,1/30/2018 20:24,25s,25
System UI,1/30/2018 20:27,1s,1
Instagram,1/30/2018 20:27,5s,5
Instagram,1/30/2018 20:27,9s,9
Instagram,1/30/2018 20:30,1m 23s,83
Snapchat,1/30/2018 20:32,1m 17s,77
Instagram,1/30/2018 20:33,10s,10
Gmail,1/30/2018 20:36,2s,2
Gmail,1/30/2018 20:37,14s,14
Gmail,1/30/2018 20:37,4s,4
Instagram,1/30/2018 20:38,1m 7s,67
Messenger Lite,1/30/2018 20:40,1s,1
Messenger Lite,1/30/2018 20:40,9s,9
Instagram,1/30/2018 20:40,2m 2s,122
Instagram,1/30/2018 20:42,3s,3
Snapchat,1/30/2018 20:43,27s,27
Snapchat,1/30/2018 20:44,1s,1
Instagram,1/30/2018 20:44,1m 18s,78
Gmail,1/30/2018 20:47,4s,4
Gmail,1/30/2018 20:54,13s,13
Messenger Lite,1/30/2018 20:55,3s,3
Firefox,1/30/2018 20:55,1m 29s,89
Messenger Lite,1/31/2018 6:32,2s,2
Gmail,1/31/2018 6:32,10s,10
Instagram,1/31/2018 6:33,49s,49
Gmail,1/31/2018 6:33,16s,16
Gmail,1/31/2018 6:34,2s,2
Gmail,1/31/2018 6:34,6s,6
WhatsApp,1/31/2018 6:34,31s,31
Gmail,1/31/2018 6:34,18s,18
Calendar,1/31/2018 6:35,15s,15
Instagram,1/31/2018 6:35,41s,41
Maps,1/31/2018 6:36,13s,13
Gmail,1/31/2018 8:22,1m 12s,72
Gmail,1/31/2018 8:23,1s,1
Google Play Store,1/31/2018 8:23,9s,9
Google Play Store,1/31/2018 8:24,11s,11
System UI,1/31/2018 8:24,1s,1
SchoolsFirst,1/31/2018 8:24,45s,45
Package installer,1/31/2018 8:25,1s,1
SchoolsFirst,1/31/2018 8:25,4s,4
SchoolsFirst,1/31/2018 8:25,7s,7
SchoolsFirst,1/31/2018 8:25,3s,3
SchoolsFirst,1/31/2018 8:25,10s,10
System UI,1/31/2018 8:26,1s,1
Google Play Store,1/31/2018 8:29,59s,59
Google Play Store,1/31/2018 8:30,1s,1
Snapchat,1/31/2018 8:30,32s,32
Lyft,1/31/2018 8:30,1s,1
System UI,1/31/2018 8:30,1s,1
Instagram,1/31/2018 8:34,8s,8
Instagram,1/31/2018 8:35,26s,26
Instagram,1/31/2018 8:35,1m 47s,107
Maps,1/31/2018 8:37,15s,15
The Weather Channel,1/31/2018 8:37,22s,22
The Weather Channel,1/31/2018 8:37,1s,1
App Usage Tracker,1/31/2018 8:38,2s,2
App Usage Tracker,1/31/2018 8:38,2s,2
Gmail,1/31/2018 8:38,31s,31
Instagram,1/31/2018 8:43,2s,2
Maps,1/31/2018 8:53,12s,12
System UI,1/31/2018 8:54,1s,1
Instagram,1/31/2018 8:54,31s,31
The Weather Channel,1/31/2018 8:56,1m 10s,70
The Weather Channel,1/31/2018 8:57,1s,1
Calendar,1/31/2018 8:57,7s,7
Drive,1/31/2018 8:58,15s,15
System UI,1/31/2018 8:58,1s,1
Gmail,1/31/2018 8:59,3s,3
Gmail,1/31/2018 8:59,20s,20
Gmail,1/31/2018 9:01,8s,8
Gmail,1/31/2018 9:01,19s,19
News & Weather,1/31/2018 9:02,24s,24
News & Weather,1/31/2018 9:02,5s,5
Firefox,1/31/2018 9:02,18s,18
Firefox,1/31/2018 9:03,4m 42s,282
News & Weather,1/31/2018 9:08,1s,1
Firefox,1/31/2018 9:08,5s,5
News & Weather,1/31/2018 9:08,8s,8
System UI,1/31/2018 9:08,1s,1
Firefox,1/31/2018 9:21,59s,59
Gmail,1/31/2018 9:22,4s,4
Firefox,1/31/2018 9:22,5s,5
Gmail,1/31/2018 9:23,3s,3
Gmail,1/31/2018 9:23,10s,10
Instagram,1/31/2018 9:23,1m 56s,116
Maps,1/31/2018 9:25,7s,7
Gmail,1/31/2018 9:49,35s,35
Gmail,1/31/2018 9:51,1m 2s,62
Pandora,1/31/2018 9:52,2s,2
Netflix,1/31/2018 9:55,3s,3
Netflix,1/31/2018 9:55,13m 46s,826
Messages,1/31/2018 10:09,3s,3
Messages,1/31/2018 10:09,45s,45
Messages,1/31/2018 10:10,12s,12
Messages,1/31/2018 10:10,22s,22
Messages,1/31/2018 10:11,1m ,60
Gmail,1/31/2018 10:12,2s,2
Netflix,1/31/2018 10:12,9s,9
System UI,1/31/2018 10:12,1s,1
Messages,1/31/2018 10:12,1m 2s,62
Messages,1/31/2018 10:13,1s,1
Netflix,1/31/2018 10:13,2s,2
Netflix,1/31/2018 10:13,3m 7s,187
Messages,1/31/2018 10:16,17s,17
Gmail,1/31/2018 10:17,5s,5
Messages,1/31/2018 10:20,3s,3
Netflix,1/31/2018 10:20,4m 43s,283
Netflix,1/31/2018 10:25,2m 29s,149
System UI,1/31/2018 10:27,1s,1
Messages,1/31/2018 10:27,1m 2s,62
Messages,1/31/2018 10:30,8s,8
Gmail,1/31/2018 10:30,18s,18
Pandora,1/31/2018 10:31,3s,3
Pandora,1/31/2018 10:36,9s,9
Pandora,1/31/2018 10:36,3s,3
System UI,1/31/2018 10:36,1s,1
Netflix,1/31/2018 10:36,1s,1
Netflix,1/31/2018 10:36,18s,18
Netflix,1/31/2018 10:36,8m 53s,533
Pandora,1/31/2018 10:45,1s,1
Pandora,1/31/2018 10:45,3s,3
Instagram,1/31/2018 10:45,3s,3
Gmail,1/31/2018 10:57,8s,8
Gmail,1/31/2018 10:57,5s,5
Pandora,1/31/2018 11:11,1s,1
Gmail,1/31/2018 11:11,12s,12
Pandora,1/31/2018 11:11,28s,28
Gmail,1/31/2018 11:44,5s,5
Gmail,1/31/2018 11:44,19s,19
Instagram,1/31/2018 11:44,17s,17
Instagram,1/31/2018 11:58,3s,3
Netflix,1/31/2018 11:58,2s,2
Instagram,1/31/2018 12:16,8s,8
Instagram,1/31/2018 12:16,6s,6
Messages,1/31/2018 12:16,22s,22
Pandora,1/31/2018 12:21,1m ,60
Pandora,1/31/2018 12:32,6s,6
Snapchat,1/31/2018 12:32,5s,5
Snapchat,1/31/2018 12:32,30s,30
Pandora,1/31/2018 12:34,3s,3
Pandora,1/31/2018 12:34,2s,2
Gmail,1/31/2018 12:35,6s,6
Messages,1/31/2018 12:35,1s,1
Messages,1/31/2018 12:35,1s,1
Messages,1/31/2018 13:03,12s,12
Messages,1/31/2018 13:04,2s,2
Messages,1/31/2018 13:08,1m 40s,100
Messages,1/31/2018 13:12,2s,2
Instagram,1/31/2018 13:12,52s,52
Messages,1/31/2018 13:21,4s,4
Instagram,1/31/2018 13:21,52s,52
Messages,1/31/2018 13:25,1m 17s,77
Messages,1/31/2018 13:26,14s,14
Messages,1/31/2018 13:31,17s,17
Messages,1/31/2018 13:32,1m 16s,76
Messages,1/31/2018 13:34,12s,12
Messages,1/31/2018 13:49,15s,15
Messages,1/31/2018 13:49,1s,1
Keep,1/31/2018 13:54,24s,24
Keep,1/31/2018 13:55,2s,2
App Usage Tracker,1/31/2018 14:02,1s,1
Gmail,1/31/2018 14:38,23s,23
Gmail,1/31/2018 14:43,5s,5
Messages,1/31/2018 14:45,5s,5
Messages,1/31/2018 14:45,38s,38
Instagram,1/31/2018 14:46,2s,2
Messages,1/31/2018 14:46,33s,33
Messages,1/31/2018 14:47,10s,10
Contacts,1/31/2018 14:47,2s,2
Contacts,1/31/2018 14:47,10s,10
Contacts,1/31/2018 14:47,7s,7
Messages,1/31/2018 14:51,4s,4
Gmail,1/31/2018 14:55,5s,5
Gmail,1/31/2018 14:55,1s,1
Gmail,1/31/2018 14:55,4s,4
Instagram,1/31/2018 14:55,4m 18s,258
Firefox,1/31/2018 15:00,1s,1
Wikipedia,1/31/2018 15:00,15s,15
Wikipedia,1/31/2018 15:00,2m 3s,123
Firefox,1/31/2018 15:02,5m 5s,305
Messages,1/31/2018 15:07,8s,8
Firefox,1/31/2018 15:07,4s,4
Instagram,1/31/2018 15:08,9s,9
Instagram,1/31/2018 15:08,2s,2
Gmail,1/31/2018 15:08,7s,7
Instagram,1/31/2018 15:10,8s,8
Messages,1/31/2018 15:20,9s,9
Messages,1/31/2018 15:22,2s,2
Messenger Lite,1/31/2018 15:22,14s,14
Messenger Lite,1/31/2018 15:22,2s,2
Messages,1/31/2018 15:22,2s,2
Messages,1/31/2018 15:31,1s,1
Messages,1/31/2018 15:31,1s,1
Messages,1/31/2018 15:42,36s,36
Messages,1/31/2018 15:43,30s,30
Gmail,1/31/2018 15:46,24s,24
Gmail,1/31/2018 15:46,37s,37
Gmail,1/31/2018 15:47,3s,3
Gmail,1/31/2018 15:47,1m 28s,88
Gmail,1/31/2018 15:48,1s,1
Messages,1/31/2018 15:51,5s,5
Instagram,1/31/2018 15:54,2s,2
Instagram,1/31/2018 15:54,55s,55
Instagram,1/31/2018 15:58,10s,10
Gmail,1/31/2018 15:59,51s,51
Messages,1/31/2018 15:59,23s,23
Snapchat,1/31/2018 16:11,27s,27
Messages,1/31/2018 16:12,2s,2
Instagram,1/31/2018 16:12,33s,33
Drive,1/31/2018 16:13,10s,10
Messenger Lite,1/31/2018 16:18,11s,11
Instagram,1/31/2018 16:19,44s,44
Messages,1/31/2018 16:22,11s,11
Instagram,1/31/2018 16:23,3s,3
Messages,1/31/2018 16:38,12s,12
Messages,1/31/2018 17:34,1m ,60
Instagram,1/31/2018 17:35,2s,2
Instagram,1/31/2018 17:41,11s,11
Messenger Lite,1/31/2018 17:44,2s,2
Maps,1/31/2018 17:44,2m 2s,122
Messenger Lite,1/31/2018 17:46,36s,36
Messages,1/31/2018 17:47,1s,1
Messages,1/31/2018 18:11,3s,3
Messages,1/31/2018 18:37,15s,15
Messages,1/31/2018 18:37,2s,2
Messages,1/31/2018 18:50,33s,33
Messages,1/31/2018 18:51,12s,12
Instagram,1/31/2018 18:59,13s,13
Messages,1/31/2018 19:00,2s,2
Messages,1/31/2018 19:00,47s,47
Netflix,1/31/2018 19:01,1s,1
Netflix,1/31/2018 19:01,9s,9
Netflix,1/31/2018 19:01,14m 12s,852
Netflix,1/31/2018 19:37,59s,59
Messages,1/31/2018 20:00,1m 44s,104
Netflix,1/31/2018 20:01,1s,1
Messages,1/31/2018 20:01,1m 26s,86
Instagram,1/31/2018 20:03,6s,6
Messenger Lite,1/31/2018 20:03,3s,3
Instagram,1/31/2018 20:03,25s,25
Messages,1/31/2018 20:03,2s,2
Messages,1/31/2018 20:09,16s,16
Messages,1/31/2018 20:09,1s,1
Instagram,1/31/2018 20:09,3s,3
Instagram,1/31/2018 20:09,38s,38
System UI,1/31/2018 20:10,1s,1
Gmail,1/31/2018 20:10,10s,10
Messenger Lite,1/31/2018 20:20,13s,13
Messenger Lite,1/31/2018 20:20,24s,24
Messenger Lite,1/31/2018 20:20,3s,3
Messenger Lite,1/31/2018 20:20,43s,43
Messenger Lite,1/31/2018 20:21,3s,3
Maps,1/31/2018 20:23,2m 20s,140
Maps,1/31/2018 20:25,50s,50
Gmail,2/1/2018 2:44,45s,45
Netflix,2/1/2018 3:15,4s,4
Netflix,2/1/2018 3:15,9m 1s,541
Netflix,2/1/2018 3:24,19m 10s,1150
Netflix,2/1/2018 7:07,1s,1
Gmail,2/1/2018 7:07,32s,32
Instagram,2/1/2018 7:08,3m 42s,222
Messenger Lite,2/1/2018 7:11,3s,3
Messenger Lite,2/1/2018 7:11,13s,13
Gmail,2/1/2018 7:34,15s,15
System UI,2/1/2018 8:19,1s,1
Messenger Lite,2/1/2018 8:19,3s,3
Instagram,2/1/2018 8:22,1m 45s,105
Snapchat,2/1/2018 8:49,17s,17
Google Play Store,2/1/2018 8:56,1m 4s,64
Google Play Store,2/1/2018 8:57,2s,2
Gmail,2/1/2018 9:00,44s,44
Maps,2/1/2018 9:01,1m 19s,79
Messages,2/1/2018 9:02,47s,47
Messages,2/1/2018 9:03,2s,2
Messages,2/1/2018 9:03,7s,7
Messages,2/1/2018 9:03,40s,40
Messages,2/1/2018 9:04,7s,7
Messages,2/1/2018 9:04,1s,1
Messages,2/1/2018 9:09,17s,17
Messages,2/1/2018 9:09,2s,2
Pandora,2/1/2018 9:27,1m ,60
Messages,2/1/2018 9:33,4s,4
Gmail,2/1/2018 9:36,1m 31s,91
Gmail,2/1/2018 9:37,1s,1
Messages,2/1/2018 9:37,1s,1
Messages,2/1/2018 9:53,1m 5s,65
Messages,2/1/2018 9:55,3s,3
Twitter,2/1/2018 9:55,13s,13
Messages,2/1/2018 9:58,1m 15s,75
Messages,2/1/2018 10:00,2m 16s,136
Messages,2/1/2018 10:03,3s,3
Messages,2/1/2018 10:03,19s,19
Instagram,2/1/2018 10:04,1m 32s,92
Gmail,2/1/2018 10:05,7s,7
Messages,2/1/2018 10:05,1s,1
Instagram,2/1/2018 10:05,1m 32s,92
Messages,2/1/2018 10:12,28s,28
Messages,2/1/2018 10:36,2s,2
Messages,2/1/2018 10:37,50s,50
Gmail,2/1/2018 10:53,14s,14
Android System,2/1/2018 11:07,3s,3
Gmail,2/1/2018 11:07,43s,43
Messages,2/1/2018 11:15,7s,7
Messages,2/1/2018 11:17,14s,14
Messages,2/1/2018 11:17,3s,3
Messages,2/1/2018 11:19,6s,6
Phone,2/1/2018 11:19,1m 3s,63
Instagram,2/1/2018 11:20,14s,14
Messages,2/1/2018 11:20,11s,11
Messages,2/1/2018 11:20,6s,6
Messages,2/1/2018 11:21,33s,33
Gmail,2/1/2018 11:21,1s,1
Messages,2/1/2018 11:21,8s,8
Messages,2/1/2018 11:22,50s,50
Messages,2/1/2018 11:23,3s,3
Messages,2/1/2018 11:23,1s,1
Messages,2/1/2018 11:23,27s,27
Gmail,2/1/2018 11:34,10s,10
Messages,2/1/2018 11:36,5s,5
Messages,2/1/2018 11:36,9s,9
Messages,2/1/2018 11:36,44s,44
Instagram,2/1/2018 11:37,2s,2
Gmail,2/1/2018 11:37,1s,1
System UI,2/1/2018 11:37,1s,1
Messages,2/1/2018 11:41,5s,5
Messages,2/1/2018 11:41,23s,23
Messages,2/1/2018 11:41,20s,20
Messages,2/1/2018 11:43,1s,1
Messages,2/1/2018 11:43,1s,1
Messages,2/1/2018 11:43,16s,16
Firefox,2/1/2018 11:43,43s,43
Messages,2/1/2018 11:44,1m 10s,70
Messages,2/1/2018 11:46,8s,8
Messages,2/1/2018 11:47,11s,11
Messages,2/1/2018 11:49,27s,27
Messages,2/1/2018 11:50,5s,5
Messages,2/1/2018 11:55,8s,8
Messages,2/1/2018 11:55,2s,2
Messages,2/1/2018 11:58,28s,28
Messages,2/1/2018 11:59,16s,16
Gmail,2/1/2018 11:59,17s,17
Messages,2/1/2018 12:00,1s,1
Maps,2/1/2018 12:08,59s,59
Maps,2/1/2018 12:09,1s,1
System UI,2/1/2018 12:09,1s,1
Messages,2/1/2018 12:12,7s,7
Messenger Lite,2/1/2018 12:16,21s,21
Firefox,2/1/2018 12:16,4s,4
Instagram,2/1/2018 12:16,33s,33
Firefox,2/1/2018 12:17,1m 29s,89
Maps,2/1/2018 12:19,25s,25
System UI,2/1/2018 12:19,1s,1
Maps,2/1/2018 12:29,13s,13
Maps,2/1/2018 12:29,6s,6
Gmail,2/1/2018 12:29,8s,8
Messages,2/1/2018 12:32,24s,24
Messages,2/1/2018 12:34,15s,15
Instagram,2/1/2018 12:34,27s,27
System UI,2/1/2018 12:34,1s,1
Wikipedia,2/1/2018 12:35,8s,8
Wikipedia,2/1/2018 12:35,8s,8
Wikipedia,2/1/2018 12:35,1m 17s,77
Gmail,2/1/2018 12:38,32s,32
Messenger Lite,2/1/2018 12:41,5s,5
Snapchat,2/1/2018 12:49,14s,14
Messages,2/1/2018 12:51,2s,2
Messages,2/1/2018 12:51,9s,9
Messages,2/1/2018 12:52,4s,4
Messages,2/1/2018 12:52,2s,2
Instagram,2/1/2018 12:52,2s,2
Maps,2/1/2018 12:58,1m 6s,66
Maps,2/1/2018 13:03,20s,20
Snapchat,2/1/2018 13:03,8s,8
Gmail,2/1/2018 13:09,8s,8
Maps,2/1/2018 13:12,58s,58
Gmail,2/1/2018 13:13,33s,33
Maps,2/1/2018 13:14,8s,8
Gmail,2/1/2018 13:16,6s,6
Maps,2/1/2018 13:18,25s,25
Gmail,2/1/2018 13:19,34s,34
Gmail,2/1/2018 13:23,1s,1
Gmail,2/1/2018 13:32,13s,13
Gmail,2/1/2018 13:33,10s,10
Instagram,2/1/2018 13:34,7s,7
Maps,2/1/2018 13:43,9s,9
Maps,2/1/2018 13:44,13s,13
Maps,2/1/2018 13:44,2s,2
Gmail,2/1/2018 13:54,5s,5
Gmail,2/1/2018 13:56,26s,26
Gmail,2/1/2018 14:05,2s,2
Gmail,2/1/2018 14:06,4s,4
Maps,2/1/2018 14:06,40s,40
Firefox,2/1/2018 14:07,2m 14s,134
Maps,2/1/2018 14:09,20s,20
Camera,2/1/2018 14:10,3s,3
Gallery,2/1/2018 14:10,11s,11
Photo Editor,2/1/2018 14:10,18s,18
Gallery,2/1/2018 14:10,2s,2
Android System,2/1/2018 14:10,2s,2
Messages,2/1/2018 14:10,1s,1
Messages,2/1/2018 14:10,11s,11
Messages,2/1/2018 14:11,30s,30
Gallery,2/1/2018 14:11,4s,4
Camera,2/1/2018 14:11,1s,1
Messages,2/1/2018 14:11,10s,10
Messages,2/1/2018 14:12,4s,4
Messages,2/1/2018 14:12,1m 39s,99
Gmail,2/1/2018 14:14,3s,3
Messages,2/1/2018 14:14,30s,30
Messages,2/1/2018 14:16,6s,6
Messages,2/1/2018 14:18,5s,5
Messages,2/1/2018 14:22,13s,13
Gmail,2/1/2018 14:24,8s,8
Gmail,2/1/2018 14:25,1s,1
Maps,2/1/2018 14:27,45s,45
Messages,2/1/2018 14:28,5s,5
Gmail,2/1/2018 14:32,25s,25
Maps,2/1/2018 14:40,34s,34
Maps,2/1/2018 14:50,28s,28
Maps,2/1/2018 14:51,1s,1
Instagram,2/1/2018 14:51,3s,3
Instagram,2/1/2018 14:51,6s,6
Camera,2/1/2018 14:51,6s,6
Gallery,2/1/2018 14:51,12s,12
Android System,2/1/2018 14:51,3s,3
Instagram,2/1/2018 14:51,49s,49
Instagram,2/1/2018 14:52,6s,6
Messages,2/1/2018 14:52,1s,1
Messages,2/1/2018 14:53,25s,25
Gmail,2/1/2018 14:53,22s,22
Messages,2/1/2018 14:54,13s,13
Instagram,2/1/2018 14:54,42s,42
Messages,2/1/2018 14:55,7s,7
Instagram,2/1/2018 14:55,4s,4
Messages,2/1/2018 14:55,8s,8
Messages,2/1/2018 14:55,5s,5
Camera,2/1/2018 14:57,13s,13
Gmail,2/1/2018 14:57,14s,14
Camera,2/1/2018 15:10,4s,4
Firefox,2/1/2018 15:11,13s,13
Firefox,2/1/2018 15:11,1s,1
Camera,2/1/2018 15:11,7s,7
Gallery,2/1/2018 15:12,19s,19
Android System,2/1/2018 15:12,1s,1
Messages,2/1/2018 15:12,1s,1
Messages,2/1/2018 15:12,4s,4
Messages,2/1/2018 15:12,5s,5
Gallery,2/1/2018 15:12,1s,1
Camera,2/1/2018 15:12,1s,1
Pandora,2/1/2018 15:12,2s,2
Pandora,2/1/2018 15:16,19s,19
Pandora,2/1/2018 15:16,1s,1
Messages,2/1/2018 15:16,17s,17
Pandora,2/1/2018 15:26,9s,9
Pandora,2/1/2018 15:27,7s,7
System UI,2/1/2018 15:27,2s,2
Gmail,2/1/2018 15:27,1s,1
System UI,2/1/2018 15:27,1s,1
Instagram,2/1/2018 15:27,12s,12
Gmail,2/1/2018 15:28,18s,18
System UI,2/1/2018 15:31,1s,1
Maps,2/1/2018 15:32,35s,35
Instagram,2/1/2018 15:32,1m 46s,106
Gmail,2/1/2018 15:38,17s,17
Messages,2/1/2018 15:38,19s,19
Instagram,2/1/2018 15:48,17s,17
Messages,2/1/2018 15:53,8s,8
Camera,2/1/2018 15:53,32s,32
Gallery,2/1/2018 15:53,6s,6
Android System,2/1/2018 15:53,3s,3
Messages,2/1/2018 15:54,1s,1
Messages,2/1/2018 15:54,5s,5
Gallery,2/1/2018 15:54,5s,5
Camera,2/1/2018 15:54,1s,1
Messages,2/1/2018 15:54,3s,3
Messages,2/1/2018 15:54,7s,7
Messages,2/1/2018 15:55,11s,11
Messages,2/1/2018 15:59,16s,16
Messages,2/1/2018 16:00,3s,3
Messages,2/1/2018 16:03,4s,4
Maps,2/1/2018 16:03,31s,31
System UI,2/1/2018 16:04,1s,1
Maps,2/1/2018 16:09,2s,2
Maps,2/1/2018 16:23,1m 57s,117
System UI,2/1/2018 16:25,1s,1
Gmail,2/1/2018 16:25,3s,3
Camera,2/1/2018 16:25,6s,6
Gallery,2/1/2018 16:25,2s,2
Android System,2/1/2018 16:25,2s,2
Messages,2/1/2018 16:25,1s,1
Messages,2/1/2018 16:25,4s,4
Messages,2/1/2018 16:25,7s,7
Gallery,2/1/2018 16:25,2s,2
Camera,2/1/2018 16:25,1s,1
Snapchat,2/1/2018 16:26,10s,10
Gmail,2/1/2018 16:26,15s,15
Messages,2/1/2018 16:27,4s,4
Messenger Lite,2/1/2018 16:34,9s,9
Messenger Lite,2/1/2018 16:34,1s,1
Messages,2/1/2018 16:34,4s,4
Messages,2/1/2018 17:11,14s,14
Instagram,2/1/2018 17:11,29s,29
Gmail,2/1/2018 17:12,6s,6
Messages,2/1/2018 17:18,6s,6
Instagram,2/1/2018 17:18,1s,1
Instagram,2/1/2018 17:18,10s,10
Camera,2/1/2018 17:18,11s,11
Gallery,2/1/2018 17:18,3s,3
Android System,2/1/2018 17:18,6s,6
Instagram,2/1/2018 17:19,52s,52
Instagram,2/1/2018 17:19,24s,24
Gallery,2/1/2018 17:20,1s,1
Camera,2/1/2018 17:20,1s,1
Instagram,2/1/2018 17:20,3s,3
Instagram,2/1/2018 17:20,2s,2
Messages,2/1/2018 17:22,2s,2
Messages,2/1/2018 17:22,23s,23
System UI,2/1/2018 17:22,1s,1
Instagram,2/1/2018 17:22,7s,7
System UI,2/1/2018 17:23,1s,1
Instagram,2/1/2018 17:27,7s,7
Messages,2/1/2018 17:30,15s,15
Messages,2/1/2018 17:32,15s,15
Instagram,2/1/2018 17:32,12s,12
The Weather Channel,2/1/2018 17:33,20s,20
The Weather Channel,2/1/2018 17:33,1s,1
Gmail,2/1/2018 17:43,55s,55
Camera,2/1/2018 18:32,1s,1
Calculator,2/1/2018 18:40,1s,1
Instagram,2/1/2018 18:40,7s,7
Messages,2/1/2018 18:55,3s,3
Messages,2/1/2018 18:55,20s,20
Instagram,2/1/2018 18:55,12s,12
Messages,2/1/2018 19:03,1m 31s,91
Messages,2/1/2018 19:06,1s,1
Instagram,2/1/2018 19:06,1s,1
Instagram,2/1/2018 19:06,2s,2
Instagram,2/1/2018 19:06,5s,5
Instagram,2/1/2018 19:06,35s,35
Messages,2/1/2018 19:25,45s,45
Instagram,2/1/2018 19:26,13s,13
Instagram,2/1/2018 19:26,12s,12
Instagram,2/1/2018 19:26,9s,9
Instagram,2/1/2018 19:26,1s,1
Instagram,2/1/2018 19:26,6s,6
Maps,2/1/2018 19:29,1m 7s,67
Maps,2/1/2018 19:30,32s,32
Maps,2/1/2018 19:32,4s,4
Maps,2/1/2018 19:32,22s,22
Messages,2/1/2018 19:33,4s,4
Messages,2/1/2018 19:34,3s,3
Maps,2/1/2018 19:34,8s,8
Maps,2/1/2018 19:34,1s,1
Contacts,2/1/2018 19:34,3s,3
Phone,2/1/2018 19:34,3s,3
Phone,2/1/2018 19:39,2s,2
Messages,2/1/2018 19:39,11s,11
Maps,2/1/2018 19:39,34s,34
Maps,2/1/2018 19:40,3s,3
Maps,2/1/2018 19:42,1s,1
Messages,2/1/2018 19:42,27s,27
Messages,2/1/2018 19:43,3s,3
Maps,2/1/2018 19:43,58s,58
Messages,2/1/2018 19:44,20s,20
Gmail,2/1/2018 19:45,4s,4
Messages,2/1/2018 19:45,1s,1
Instagram,2/1/2018 19:45,4s,4
Messages,2/1/2018 19:45,4s,4
Gmail,2/1/2018 19:45,10s,10
Gmail,2/1/2018 19:45,1s,1
Maps,2/1/2018 19:46,17s,17
Maps,2/1/2018 19:47,5s,5
Maps,2/1/2018 19:48,4s,4
Maps,2/1/2018 19:50,8s,8
Maps,2/1/2018 19:50,1s,1
Messages,2/1/2018 19:50,15s,15
Messages,2/1/2018 19:51,8s,8
Messages,2/1/2018 19:51,14s,14
Messages,2/1/2018 19:52,1s,1
Maps,2/1/2018 19:55,35s,35
Messages,2/1/2018 19:56,17s,17
